gene_id,variance,mean_expr,n_samples
FBgn0036363,0.44317221146356145,0.7728814516898341,41
FBgn0036992,0.4422677122975992,7.601768027513791,41
FBgn0032266,0.44113293265598086,3.878851150934485,41
FBgn0040211,0.4408361369813526,5.20757164578923,41
FBgn0051104,0.4400375057160928,6.305479026585003,41
FBgn0029172,0.43916879984488,0.2857525924260418,41
FBgn0083970,0.43886891990719745,4.110678803547009,41
FBgn0035360,0.43781654721222657,4.984627881840119,41
FBgn0033216,0.43759760001231357,1.9046340989357453,41
FBgn0039342,0.43691086541103613,8.249898132860691,41
FBgn0034382,0.43691030937793307,6.966987217470381,41
FBgn0051004,0.4352332024157615,7.008436886834165,41
FBgn0063492,0.43516472003911827,4.6543406667487695,41
FBgn0039325,0.43330335469888837,6.685762472639417,41
FBgn0031689,0.43308161515423854,7.01252232220267,41
FBgn0039324,0.4330766357810175,7.017403948319161,41
FBgn0010222,0.43016585597081514,5.44883799398292,41
FBgn0053192,0.429046389130196,3.8001932703076995,41
FBgn0028920,0.42878142051652113,8.53801483512911,41
FBgn0029828,0.4271717576983865,6.457656318198528,41
FBgn0030911,0.42645416011895493,0.615281993089685,41
FBgn0039593,0.42308828631015283,2.8427911293135866,41
FBgn0087002,0.4222176846373049,11.076928556010774,41
FBgn0054054,0.42049666263979024,3.805852338680526,41
FBgn0028855,0.419120270064289,1.817887266759332,41
FBgn0032076,0.4188875076939992,7.123742158639887,41
FBgn0034887,0.4144939617095547,4.719538076022818,41
FBgn0053346,0.4139099869283469,5.9906790973300605,41
FBgn0039316,0.4137038830676635,4.867361647091326,41
FBgn0039476,0.41353155792137936,3.0976014330151616,41
FBgn0003719,0.4116945798264563,2.3277522176742633,41
FBgn0263090,0.4113744960191818,4.7620577355095,41
FBgn0042105,0.40995709224961824,3.7825647799709454,41
FBgn0035977,0.409840416323518,3.342228957063212,41
FBgn0005670,0.4087190302213136,3.5438390867235587,41
FBgn0033927,0.4064705724528924,9.051366811292365,41
FBgn0039471,0.4049828422436984,7.661683702535457,41
FBgn0032253,0.40475181271880006,4.310169941314617,41
FBgn0051664,0.40326667946507777,3.1555182436339315,41
FBgn0030326,0.40235008977286285,2.0447004466160426,41
FBgn0040096,0.4008260147246495,1.8733307756529918,41
FBgn0037782,0.3980417040164389,3.8611111484607266,41
FBgn0050026,0.39691180545209065,5.645466997085311,41
FBgn0026721,0.39617355488348893,6.3786410693832485,41
FBgn0027579,0.39606673556594135,7.65481577246221,41
FBgn0035300,0.39493272238676164,4.572399847285051,41
FBgn0267755,0.3929394271377312,2.489842234025192,41
FBgn0041184,0.39263723870341216,5.3106138557263485,41
FBgn0032726,0.39213832027858975,6.338843226898531,41
FBgn0038082,0.3914733793089168,3.4513014084941016,41
FBgn0031471,0.3913092358752591,0.8332207142499315,41
FBgn0023197,0.3908298582695607,7.936774120871732,41
FBgn0036831,0.39053007952693847,3.042013494943604,41
FBgn0033926,0.38954379246412507,10.061843640913818,41
FBgn0259140,0.38734352857319887,3.047984674970866,41
